,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
9870,Etude /,"Boissonnas, Edith, 1904-1989",,Gallimard,,9870,Etude,,boissonnas edith -,Etude boissonnas edith - 
9871,L'embellie /,"Boissonnas, Edith, 1904-1989",,Gallimard,,9871,L'embellie,,boissonnas edith -,L'embellie boissonnas edith - 
9872,Autobiographie /,"Powys, John Cowper",,Gallimard,"Powys, John Cowper--[document]",9872,Autobiographie,powys john cowper--document,powys john cowper,Autobiographie powys john cowper powys john cowper--document
9873,Ce que je n'ai pas encore dit à mon jardin /,"Pera, Pia, 1956-2016",9782081430402; 2081430401,Arthaud,,9873,Ce que je n'ai pas encore dit à mon jardin,,pera pia -,Ce que je n'ai pas encore dit à mon jardin pera pia - 
9874,Mescaline 55 /,"Boissonnas, Edith, 1904-1989",9782912222497; 2912222494,C Paulhan,Mescaline; Usage des drogues; Écrivains; [Récits personnels]; [Anthologies],9874,Mescaline 55,mescaline usage drogues écrivains récits personnels anthologies,boissonnas edith -,Mescaline 55 boissonnas edith - mescaline usage drogues écrivains récits personnels anthologies
9875,Villa royale : roman /,"Fournier-Lorentz, Emmanuelle 1989-....",9782072940484; 2072940486,Gallimard,Littérature suisse de langue française; Roman,9875,Villa royale : roman,littérature suisse langue française roman,fournier-lorentz emmanuelle -,Villa royale : roman fournier-lorentz emmanuelle - littérature suisse langue française roman
9876,"Libérez vos fascias : soulager la douleur, stimuler son énergie, diminuer l'anxiété, réduire la tension artérielle, rajeunir son corps /","Fenster, Daniel",9782853277365; 2853277364,Éditions Médicis,Fasciathérapie; Thérapeutique par l'exercice,9876,"Libérez vos fascias : soulager la douleur, stimuler son énergie, diminuer l'anxiété, réduire la tension artérielle, rajeunir son corps",fasciathérapie thérapeutique lexercice,fenster daniel,"Libérez vos fascias : soulager la douleur, stimuler son énergie, diminuer l'anxiété, réduire la tension artérielle, rajeunir son corps fenster daniel fasciathérapie thérapeutique lexercice"
9877,Pays des Trois-Lacs : Trente excursions au bord de l'eau,"Rime, Jacques, 1971-",9782882959232; 2882959230,Cabédita,"Randonnée pédestre; Bienne (Suisse, lac, région); Morat (Suisse, lac, région); Neuchâtel (Suisse, lac, région); Guides touristiques et de visite",9877,Pays des Trois-Lacs : Trente excursions au bord de l'e,randonnée pédestre bienne suisse lac région morat neuchâtel guides touristiques visite,rime jacques -,Pays des Trois-Lacs : Trente excursions au bord de l'e rime jacques - randonnée pédestre bienne suisse lac région morat neuchâtel guides touristiques visite
9878,Suisse et sans gluten : 24 recettes de boulangerie & pâtisserie de chez nous /,,9782970146087; 2970146088,Editions Jobé-Truffer,Livres de cuisine; Régimes sans gluten,9878,Suisse et sans gluten : 24 recettes de boulangerie & pâtisserie de chez nous,livres cuisine régimes gluten,,Suisse et sans gluten : 24 recettes de boulangerie & pâtisserie de chez nous  livres cuisine régimes gluten
9879,"En scène ! : FLE, français langue étrangère A1-A2 : cahier pour réviser le français autrement /","Horquin, Alexandra 19..-....",2340064333; 9782340064331,Ellipses,Français (langue); Manuels pour allophones,9879,"En scène ! : FLE, français langue étrangère A1-A2 : cahier pour réviser le français autrement",français langue manuels allophones,horquin alexandra -,"En scène ! : FLE, français langue étrangère A1-A2 : cahier pour réviser le français autrement horquin alexandra - français langue manuels allophones"
9880,Grammaire progressive du français : A2-B1 : intermédiaire /,"Grégoire, Maïa",9782090381030; 2090381035; 9782090381047; 2090381043,CLE international,Français (langue); Grammaire; [Problèmes et exercices]; [Manuels pour allophones],9880,Grammaire progressive du français : A2-B1 : intermédiaire,français langue grammaire problèmes exercices manuels allophones,grégoire maïa,Grammaire progressive du français : A2-B1 : intermédiaire grégoire maïa français langue grammaire problèmes exercices manuels allophones
9881,Opération Z /,"Baud, Jacques",9782315010370; 2315010373,Max Milo,Politique et gouvernement--Russie--1991-....; Politique et gouvernement--Ukraine--1991-....; Guerre russo-ukrainienne (2022-....); Relations internationales--Russie--Ukraine--1990-2020,9881,Opération Z,politique gouvernement--russie--- gouvernement--ukraine--- guerre russo-ukrainienne - relations internationales--russie--ukraine---,baud jacques,Opération Z baud jacques politique gouvernement--russie--- gouvernement--ukraine--- guerre russo-ukrainienne - relations internationales--russie--ukraine---
9882,Le trésorier-payeur : roman /,"Haenel, Yannick",9782072993091; 2072993091,Gallimard,Roman français; Banques--Personnel,9882,Le trésorier-payeur : roman,roman français banques--personnel,haenel yannick,Le trésorier-payeur : roman haenel yannick roman français banques--personnel
9883,Islande : [135 sites naturels à découvrir] /,"Broussaud, Marc",9782713103681; 2713103681,Ed Marcus,Islande--Guides touristiques et de visite; Islande--[guide],9883,Islande : [135 sites naturels à découvrir],islande--guides touristiques visite islande--guide,broussaud marc,Islande : [135 sites naturels à découvrir] broussaud marc islande--guides touristiques visite islande--guide
9884,Il suffit de traverser la rue : : petite saga des années 2010 : roman /,"Faye, Eric",9782021472783; 2021472787,Editions du Seuil,,9884,Il suffit de traverser la rue : : petite saga des années 2010 : roman,,faye eric,Il suffit de traverser la rue : : petite saga des années 2010 : roman faye eric 
9885,"""Enfance"" (1983), Nathalie Sarraute /","Himy-Piéri, Laure",9782401059405; 2401059407,Hatier,"Sarraute, Nathalie.--""Enfance""--[manuel]",9885,"""Enfance"" (1983), Nathalie Sarraute",sarraute nathalie--enfance--manuel,himy-piéri laure,"""Enfance"" (1983), Nathalie Sarraute himy-piéri laure sarraute nathalie--enfance--manuel"
9886,Voyous /,"Johnstone, Doug 1970-....",9.79102E+12,Métailié,Roman policier écossais; Famille inadaptée et criminalité,9886,Voyous,roman policier écossais famille inadaptée criminalité,johnstone doug -,Voyous johnstone doug - roman policier écossais famille inadaptée criminalité
9887,Le guide de la déco chinée : pour créer une ambiance stylée grâce à des meubles qui ont une histoire... /,,9782501172714; 250117271X,Marabout,Décoration intérieure; Meubles--Recyclage; Antiquités (objets anciens),9887,Le guide de la déco chinée : pour créer une ambiance stylée grâce à des meubles qui ont une histoire...,décoration intérieure meubles--recyclage antiquités objets anciens,,Le guide de la déco chinée : pour créer une ambiance stylée grâce à des meubles qui ont une histoire...  décoration intérieure meubles--recyclage antiquités objets anciens
9888,Sarà perché ti amo : roman /,"Giuliano-Laktaf, Serena",9782221255407; 2221255402,Robert Laffont,Couples; Relations humaines; Roman français,9888,Sarà perché ti amo : roman,couples relations humaines roman français,giuliano-laktaf serena,Sarà perché ti amo : roman giuliano-laktaf serena couples relations humaines roman français
9889,Les nuits blanches /,"Dostoïevski, Fedor Mikhailovitch 1821-1881",9782073025807; 2073025803,Gallimard,,9889,Les nuits blanches,,dostoïevski fedor mikhailovitch -,Les nuits blanches dostoïevski fedor mikhailovitch - 
9890,L'idiot /,"Dostoevskiĭ, Fedor Mikhaĭlovich",274273645X; 9782742736454; 2742736468; 9782742736461,Actes Sud,,9890,L'idiot,,dostoevskiĭ fedor mikhaĭlovich,L'idiot dostoevskiĭ fedor mikhaĭlovich 
9891,Le petit prince /,"Saint-Exupéry, Antoine de",9782070755899; 2070755894,Gallimard,,9891,Le petit prince,,saint-exupéry antoine,Le petit prince saint-exupéry antoine 
9892,Psychologie sociale /,,9782130633440; 2130633447,PUF,Psychologie sociale; Psychologie sociale--Méthodologie,9892,Psychologie sociale,psychologie sociale sociale--méthodologie,,Psychologie sociale  psychologie sociale sociale--méthodologie
9893,Eichmann à Jérusalem : rapport sur la banalité du mal /,"Arendt, Hannah 1906-1975",9782070326211; 2070326217,Gallimard,"Eichmann, Adolf - procès; Shoah",9893,Eichmann à Jérusalem : rapport sur la banalité du mal,eichmann adolf - procès shoah,arendt hannah -,Eichmann à Jérusalem : rapport sur la banalité du mal arendt hannah - eichmann adolf - procès shoah
9894,Après Canguilhem : définir la santé et la maladie /,"Giroux, Elodie",9782130569008; 2130569005,Presses universitaires de France,"Canguilhem, Georges.--""Le normal et le pathologique""; épistémologie--médecine--Canguilhem, Georges; maladie--nature--santé--Canguilhem, Georges--* philosophie",9894,Après Canguilhem : définir la santé et la maladie,canguilhem georges--le normal pathologique épistémologie--médecine--canguilhem georges maladie--nature--santé--canguilhem georges-- philosophie,giroux elodie,Après Canguilhem : définir la santé et la maladie giroux elodie canguilhem georges--le normal pathologique épistémologie--médecine--canguilhem georges maladie--nature--santé--canguilhem georges-- philosophie
9895,Philosophie de la médecine,,9782711623662; 2711623661; 9782711624478; 2711624471,J Vrin,"Philosophy, Medical; Médecine; Philosophie; Épistémologie; [Anthologies]",9895,Philosophie de la médeci,philosophy medical médecine philosophie épistémologie anthologies,,Philosophie de la médeci  philosophy medical médecine philosophie épistémologie anthologies
9896,"Pourquoi nous racontons-nous des histoires ? : le récit, au fondement de la culture et de l'identité /","Bruner, Jerome S.‏‎ 1915-2016 (Jerome Seymour)‏,",9782725629902; 272562990X,Ed Retz,Psychologie cognitive; Écriture--Aspect cognitif; Narration--Aspect psychologique; communication--récit - analyse; littérature--récit; droit--récit; récit--vie quotidienne; autobiographie--récit,9896,"Pourquoi nous racontons-nous des histoires ? : le récit, au fondement de la culture et de l'identité",psychologie cognitive écriture--aspect cognitif narration--aspect psychologique communication--récit - analyse littérature--récit droit--récit récit--vie quotidienne autobiographie--récit,bruner jerome s‏‎ - seymour‏,"Pourquoi nous racontons-nous des histoires ? : le récit, au fondement de la culture et de l'identité bruner jerome s‏‎ - seymour‏ psychologie cognitive écriture--aspect cognitif narration--aspect psychologique communication--récit - analyse littérature--récit droit--récit récit--vie quotidienne autobiographie--récit"
9897,La piste de Yéshé /,Cosey,9782808203500; 2808203500,Le Lombard,Bandes dessinées,9897,La piste de Yéshé,bandes dessinées,cosey,La piste de Yéshé cosey bandes dessinées
9898,Les Folies Bergères /,"Porcel, Francis",9782505118404; 250511840X,Dargaud,Bandes dessinées,9898,Les Folies Bergères,bandes dessinées,porcel francis,Les Folies Bergères porcel francis bandes dessinées
9899,Le banquier du Reich /,"Boisserie, Pierre",9782344027004; 2344027009; 9782344035993; 2344035990,Glénat,Bandes dessinées,9899,Le banquier du Reich,bandes dessinées,boisserie pierre,Le banquier du Reich boisserie pierre bandes dessinées
9900,"Geisha, ou, le jeu du shamisen /","Perrissin, Christian",9782754825009; 2754825002,Futuropolis,,9900,"Geisha, ou, le jeu du shamisen",,perrissin christian,"Geisha, ou, le jeu du shamisen perrissin christian "
9901,Ladies with guns /,"Bocquet, Olivier",9782205087338; 2205087339; 9782205202816; 2205202812; 9782205207927; 220520792X,Dargaud,Bandes dessinées de western,9901,Ladies with guns,bandes dessinées western,bocquet olivier,Ladies with guns bocquet olivier bandes dessinées western
9902,Afrikakorps /,"Speltens, Olivier, 1971-",9782888908425; 2888908425; 9782889325535; 2889325539; 9782889325559; 2889325555,Paquet,[Bandes dessinées],9902,Afrikakorps,bandes dessinées,speltens olivier -,Afrikakorps speltens olivier - bandes dessinées
9903,Njinga : la lionne du Matamba /,"Pécau, Jean-Pierre",9782413022213; 241302221X; 9782413036715; 2413036717,Delcourt,Bandes dessinées,9903,Njinga : la lionne du Matamba,bandes dessinées,pécau jean-pierre,Njinga : la lionne du Matamba pécau jean-pierre bandes dessinées
